lineOrig,No,Time,Y,X,SVL_mm,Color,Nuptial_Pads,gravid,Demography 
1,1,2109,4118573,364298,61.6,DY,Y,N,M
2,2,2109,4118577,364297,45.3,GY,N,Y,F
3,3,2109,4118569,364305,44,GY,N,Y,F
5,5,2119,4118555,364336,42,G,N,N,SNBA
6,6,2121,4118544,364338,38.3,GY,N,N,SNBA
7,7,2126,4118537,364358,53.7,Y,Y,N,M
8,8,2126,4118537,364358,48.6,GY,N,Y,F
9,9,2129,4118548,364366,44.8,GY,N,N,SNBA
10,10,2131,4118532,364373,49.6,GY,N,N,SNBA
11,11,2133,4118530,364375,49.2,GY,N,Y,F
12,12,2135,4118534,364367,40.3,G,N,N,SNBA
13,13,2136,4118532,364380,35.3,G,N,N,SNBA
14,14,2138,4118537,364391,51.9,Y,Y,N,M
15,15,2138,4118536,364391,37.9,G,N,N,SNBA
16,16,2141,4118521,364397,43.8,GY,N,N,SNBA
17,17,2141,4118526,364398,51.2,Y,Y,N,M
18,18,2148,4118517,364399,49.1,DY,Y,N,M
19,19,2153,4118517,364404,54.6,Y,Y,N,M
21,21,2159,4118496,364431,43.1,GY,N,N,SNBA
22,22,2200,4118498,364435,46.2,DY,N,N,SNBA
23,23,2203,4118491,364441,44.9,G,N,N,SNBA
24,24,2207,4118496,364467,49.6,GY,N,Y,F
25,25,2211,4118476,364467,47.8,GY,N,Y,F
26,26,2213,4118473,364479,39.1,GY,N,N,SNBA
27,27,2215,4118472,364486,46.9,DY,Y,N,M
28,28,2215,4118465,364494,54.8,DY,Y,N,M
29,29,2215,4118476,364490,42,GY,N,N,SNBA
30,30,2215,4118469,364477,34.4,G,N,N,SNBA
31,31,2215,4118462,364496,35.2,G,N,N,SNBA
32,32,2221,4118465,364499,53.8,DY,N,Y,F
33,33,2221,4118473,364511,60.2,DY,Y,N,M
34,34,2221,4118491,364505,41.7,GY,N,N,SNBA
35,35,2221,4118483,364510,51,DY,Y,N,M
36,36,2227,4118465,364485,42.4,G,N,N,SNBA
37,37,2229,4118470,364507,41.6,GY,N,N,SNBA
38,38,2230,4118460,364493,41.9,GY,N,N,SNBA
39,39,2231,4118464,364504,48.3,DY,N,N,SNBA
40,40,2233,4118466,364500,37.9,G,N,N,SNBA
41,41,2236,4118476,364507,59.5,DY,N,N,SNBA
42,42,2238,4118472,364509,38.3,G,N,N,SNBA
43,43,2240,4118464,364529,36.6,G,N,N,SNBA
44,44,2240,4118475,364534,36.4,G,N,N,SNBA
45,45,2242,4118456,364549,44.7,GY,Y,N,M
46,46,2247,4118470,364551,37.5,G,N,N,SNBA
48,48,2248,4118456,364541,40.7,G,N,N,SNBA
49,49,2250,4118470,364562,40.9,GY,N,N,SNBA
50,50,2254,4118468,364571,31.5,G,N,N,SNBA
52,52,2257,4118471,364603,34.1,G,N,N,SNBA
53,53,2257,4118477,364605,36.6,G,N,N,SNBA
54,54,2259,4118447,364595,54,DY,N,Y,F
55,55,2300,4118463,364600,46.4,DY,Y,N,M
56,56,2303,4118460,364618,38.4,G,N,N,SNBA
57,57,2305,4118454,364614,50.3,DY,Y,N,M
58,58,2306,4118460,364618,38,G,N,N,SNBA
59,59,2309,4118458,364626,43.1,G,N,N,SNBA
60,60,2311,4118451,364621,39.8,G,N,N,SNBA
61,61,2317,4118452,364618,42.7,G,N,N,SNBA
62,62,2320,4118466,364662,34.6,DY,N,N,SNBA
63,63,2322,4118475,364670,44.9,GY,N,Y,F
64,64,2325,4118466,364671,41.6,GY,N,N,SNBA
65,65,2327,4118471,364667,45.8,DY,Y,N,M
66,66,2329,4118455,364686,45.7,Y,Y,N,M
67,67,2330,4118448,364700,34.8,G,N,N,SNBA
68,68,2332,4118454,364706,37.8,G,N,N,SNBA
69,69,2332,4118452,364703,40.3,GY,N,N,SNBA
70,70,2339,4118459,364722,38.5,G,N,N,SNBA
71,71,2340,4118470,364733,38.8,G,N,N,SNBA
72,72,2340,4118474,364727,36.1,G,N,N,SNBA
73,73,2343,4118448,364709,38.1,G,N,N,SNBA
74,74,2343,4118448,364709,34.4,GY,N,N,SNBA
75,75,2349,4118450,364773,46.7,GY,N,N,SNBA
76,76,2349,4118451,364774,51.2,GY,N,Y,F
77,77,2349,4118455,364783,38.7,G,N,N,SNBA
78,78,2353,4118432,364773,54.5,DY,N,Y,F
80,80,2356,4118462,364797,35.7,G,N,N,SNBA
81,81,2359,4118455,364818,49.9,GY,N,N,SNBA
82,82,1,4118455,364825,39.5,G,N,N,SNBA
83,83,2,4118456,364837,39,G,N,N,SNBA
84,84,5,4118452,364851,51.2,DY,N,Y,F
85,85,5,4118451,364858,39.8,G,N,N,SNBA
88,88,10,4118447,364853,40.1,G,N,N,SNBA
91,91,37,4118460,365198,42.3,G,N,N,SNBA
92,1,2112,4118534,364280,40.2,GY,N,N,SNBA
93,2,2116,4118540,364296,47.4,DY,N,Y,F
94,3,2118,4118533,364310,56.6,DY,N,Y,F
95,4,2122,4118518,364337,37.4,GY,N,N,SNBA
96,5,2126,4118525,364335,45,GY,N,N,SNBA
97,6,2128,4118517,364339,37.2,G,N,N,SNBA
98,7,2132,4118520,364348,47.9,GY,N,Y,F
99,8,2136,4118511,364368,50.1,GY,N,Y,F
100,9,2136,4118515,364362,46.3,DY,N,Y,F
101,10,2140,4118506,364555,34.1,GY,N,N,SNBA
102,11,2142,4118502,364365,41,GY,N,N,SNBA
103,12,2144,4118492,364367,41.6,GY,N,N,SNBA
104,13,2144,4118494,364364,41.9,GY,N,N,SNBA
105,14,2147,4118500,364378,47.1,G,N,Y,F
106,15,2152,4118500,364399,47.4,GY,N,Y,F
